country,name_field,status_field,count
Ecuador,Sin Información,Sin reconocimiento,31
Ecuador,Cuyabeno - Imuya,Decretada,7
Ecuador,Sin Información,Titulada,6
Ecuador,San Lorenzo,Sin reconocimiento,6
Venezuela,Territorio tradicional Jivi,Sin demarcación,5
Venezuela,Territorio tradicional Kari'ña,Sin demarcación,5
Venezuela,Territorio tradicional Mako,Sin demarcación,5
Ecuador,Yukias Sagrado C,Sin reconocimiento,4
Venezuela,Territorio tradicional Puinave,Sin demarcación,3
Ecuador,Saraguro,Sin reconocimiento,3
Ecuador,Cañari,Titulada,3
Ecuador,Sapara,Titulada,3
Ecuador,Kushapuk,Titulada,3
Venezuela,Territorio tradicional Uwottüja,Sin demarcación,3
Peru,BELLAVISTA,TITULADA,3
Ecuador,Yawi,Titulada,3
Ecuador,curaray,Titulada,3
Ecuador,Centro Shuar Pankints,Titulada,3
Ecuador,Centro Shuar Tsuntsuim,Titulada,2
Peru,SAN JORGE,TITULADA,2
Ecuador,Yayu,Titulada,2
Peru,NUEVO SAN JOSE,TITULADA,2
Ecuador,Indillama,Sin reconocimiento,2
Ecuador,Manchinias,Titulada,2
Ecuador,Centro Shuar Numpaim,Titulada,2
Peru,NUEVA ALIANZA,TITULADA,2
Ecuador,Pompeya,Sin reconocimiento,2
Peru,SANTA CARMELA - AMPLIACION,AMPLIACION,2
Ecuador,Huino,Sin reconocimiento,2
Ecuador,24 De Mayo,Sin reconocimiento,2
Ecuador,Coca Sardinas,Sin reconocimiento,2
Ecuador,Comuna San José,Titulada,2
Ecuador,pakayaku,Titulada,2
Ecuador,Gabriel Calapucha,Titulada,2
Ecuador,Centro Shuar Kusutka,Titulada,2
Ecuador,Micha Nunka,Sin reconocimiento,2
Peru,PROGRESO DE NUCURAY,TITULADA,2
Peru,PIURA,TITULADA,2
Peru,Kakataibo Norte y Sur,Adecuada,2
Venezuela,Territorio tradicional Yeral,Sin demarcación,2
Ecuador,Chapinza,Titulada,2
Ecuador,Atari,Titulada,2
Venezuela,Territorio tradicional Warao,Sin demarcación,2
Ecuador,canelos,Titulada,2
Ecuador,San Ramón,Sin reconocimiento,2
Ecuador,San Vicente,Sin reconocimiento,2
Venezuela,Territorio tradicional Kurripaco,Sin demarcación,2
Peru,HUAGRAMONA,TITULADA,2
Ecuador,San Carlos,Sin reconocimiento,2
Ecuador,Chichiz,Titulada,2
Ecuador,San Antonio,Sin reconocimiento,2
Ecuador,Narupa,Titulada,2
Ecuador,Kurints,Titulada,2
Ecuador,Ñeñeña,Titulada,2
Ecuador,Centro Shuar Wawaim,Titulada,2
Peru,LIMON COCHA,TITULADA,2
Ecuador,Uchich Wichim,Sin reconocimiento,2
Peru,ENCANTO DE SIUCA CAÑO,TITULADA,2
Ecuador,Kusunts,Titulada,2
